openalex_id,title,authors,publication_date,abstract,journal,doi,status,first_retrieved_date,last_updated_date
https://openalex.org/W4411116433,The employment effects of a means-tested guaranteed income policy,Timo Verlaat; Federico Todeschini; Xavier Ramos,2025-06-07,NA,Journal of Public Economics,https://doi.org/10.1016/j.jpubeco.2025.105420,new,2026-03-15,2026-03-15T00:00:00Z
https://openalex.org/W7117373766,Wages and Working Conditions in Global Value Chains: The Relevance of Foreign Ownership in New Sourcing Countries,L.J. Fransen; Khadija van der Straaten; Ans Kolk; Victor Hartman; Kea Tijdens,2025-12-26,"ABSTRACT The debate on the relationship between labour conditions in manufacturing sectors and global value chain (GVC) participation takes a new turn with the emergence of sub‐Saharan African (SSA) economies as important sourcing destinations. With lower levels of economic development, and significantly lower wages than most other exporting countries, the question is how the insertion of SSA firms in GVCs affects workers in these countries—and who reap(s) the benefits. Interestingly, foreign owners of manufacturing facilities have received little scholarly attention, in contrast to the heavily scrutinized multinational companies (‘brands’) that buy from them. This article studies the Ethiopian apparel sector, which has sought integration in the global apparel chain exclusively on a cheap labour ticket. On the basis of unique worker‐level data, we analyse wages and working conditions, comparing foreign‐ and domestic‐owned factories, and those producing for export or the domestic market. We find that workers in foreign‐owned factories producing for GVCs have significantly lower wages and freedom of association, but better occupational safety and health than their peers in factories producing for the local market. We conclude that to alleviate poverty and poor working conditions in GVCs, global buyers are not the only key players to consider.",British Journal of Industrial Relations,https://doi.org/10.1111/bjir.70029,new,2026-03-15,2026-03-15T00:00:00Z
https://openalex.org/W7118210105,Integrated Strategies for Union Legitimacy (Re)Building: A Process Model,Martijn Boersma; Emmanuel Josserand,2026-01-05,"ABSTRACT This study presents a longitudinal analysis examining the process by which the Transport Workers Union (re)established its legitimacy through an integrated strategy encompassing comprehensive campaigns in road transport, aviation, and the gig economy in Australia. We reveal how unions can gain pragmatic legitimacy through power recomposition, moral legitimacy through moral framing, and cognitive legitimacy through the shaping of assumptions. We reveal the systematic transfer of proven strategies to different parts of the industry, adapting to specific conditions and audiences. Our findings provide a framework for unions to revitalize their influence within a dynamic industrial relations landscape.",Industrial Relations A Journal of Economy and Society,https://doi.org/10.1111/irel.70021,new,2026-03-15,2026-03-15T00:00:00Z
https://openalex.org/W4415297010,Consequences of job loss for routine workers,Yaroslav Yakymovych,2025-10-17,"Abstract If displaced in mass layoffs, routine workers are hit by the combination of a severe shock and a long-term decrease in demand for their skills due to automation. I use matched employer–employee data from Sweden to show that displaced routine workers have worse labour market outcomes than displaced non-routine workers. Furthermore, a significant share of their earnings losses is passed through to disposable income, meaning that routine workers are not compensated by social insurance. I also find evidence in favour of routine workers’ larger losses being caused by the irrelevance of their pre-displacement occupation-specific human capital. Routine workers are more likely to switch occupations and industries upon re-employment. Their wages upon re-employment are lower compared to non-routine workers and compared to the mean wage in their new occupation. I do not find evidence that switching to a non-routine occupation reduces losses, with switchers instead appearing to do worse in the short-to-medium run.",Empirical Economics,https://doi.org/10.1007/s00181-025-02827-9,new,2026-03-15,2026-03-15T00:00:00Z
https://openalex.org/W4412965055,The Shape of the Business Cycle: The View From U.S. States,Travis J. Berge; Damjan Pfajfar,2025-07-18,"ABSTRACT We produce business cycle chronologies for U.S. states and use them to study the shape of business cycles. We first provide strong evidence for positive duration dependence, that is to say, longer business cycle phases are, all else equal, more likely to end. However, the effect is overwhelmed by the impact of other macroeconomic indicators such as the stance of monetary policy, slope of the yield curve, and state‐specific characteristics. We further examine the relationship between the previous phase of the business cycle and the current one. We find that the shape of a given expansion is altered by the depth of the recession that preceded it, consistent with Milton Friedman's plucking model. However, we find little evidence that recessions are influenced by the preceding expansion.",Oxford Bulletin of Economics and Statistics,https://doi.org/10.1111/obes.70004,new,2026-03-15,2026-03-15T00:00:00Z
https://openalex.org/W7127665819,The Economics of Noncompete Clauses,Evan Starr,2026-02-01,"For over 600 years, debates over noncompete clauses have centered on whether they function as efficient contracting tools or anticompetitive restraints on workers. This article reassesses that debate in light of recent policy attention and new empirical and theoretical research. Proponents argue that noncompetes are necessary to protect investments in training and trade secrets, increasing productivity and wages. However, recent studies indicate that the widespread use of noncompetes—frequently extending beyond roles involving sensitive information—and their enforceability lower mobility, wages, innovation, and entrepreneurship. Moreover, in many cases, less restrictive contractual terms appear to safeguard firm interests. Evidence of spillovers to other workers and across state boundaries, as well as behavioral effects even when noncompetes are unenforceable, raises questions about whether existing state-level enforcement regimes adequately address their observed impacts.",The Journal of Economic Perspectives,https://doi.org/10.1257/jep.20251457,new,2026-03-15,2026-03-15T00:00:00Z
https://openalex.org/W4416694441,Downward Rigidity in the Wage for New Hires,Jonathon Hazell; Bledi Taska,2025-11-26,"Wage rigidity is an important explanation for unemployment fluctuations. In benchmark models wages for new hires are key, but there is limited evidence on this margin. We use wages posted on vacancies, with job and establishment information, to measure the wage for new hires. We show that our measure of the wage for new hires is rigid downward and flexible upward, in two steps. First, wages change infrequently at the job level, and fall especially rarely. Second, wages do not respond to rises in unemployment, but respond strongly to falls in unemployment. Job information is crucial for detecting downward rigidity. (JEL E24, E32, J23, J31, J63, M51)",American Economic Review,https://doi.org/10.1257/aer.20201793,new,2026-03-14,2026-03-14T00:00:00Z
https://openalex.org/W4415719948,Rebuilding Tripartism and Labor Standards From Below? Legitimation Politics and Risks Around Local Employment Standards,Ceri Hughes; Stephen Mustchin; Miguel Martínez Lucio,2025-10-30,"ABSTRACT Establishing voluntary labor standards depends on securing the voluntary engagement of multiple actors with potentially diverging interests. This paper examines the legitimation politics and processes surrounding attempts to develop local labor standards through an empirical study of local employment charters in England. These forms of soft regulation, promoted by local state actors, ask employers to commit to flexible ‘good’ work principles. We argue that legitimation processes are central to debates around new forms of ‘soft regulation’, highlighting how building legitimacy entails compromises and potential legitimacy risks for others.",Industrial Relations A Journal of Economy and Society,https://doi.org/10.1111/irel.70010,new,2026-03-14,2026-03-14T00:00:00Z
https://openalex.org/W4416042940,The Impact of Amazon Facilities on Local Economies,Vikram Pathania; Serguei Netessine,2025-11-08,"ABSTRACT A number of large companies deploy facilities—factories, warehouses, shopping malls—that employ thousands of people directly and indirectly. Local governments have been enticing these companies with various financial incentives. But how much economic growth do these facilities promote, if any? We study this question using Amazon distribution facilities as the case in point. We show evidence of a positive effect of opening Amazon's distribution facilities on counties' economic outcomes. We focus on midsized counties in which Amazon opened facilities in the years 2014–2017 because we have good controls for these counties. We find a selection effect where Amazon locates its facilities, and we address this issue. Our preferred methodology is Callaway–Sant'Anna difference‐in‐differences combined with matching. After Amazon's entry, in our preferred specification, we find that the employment‐to‐population ratio in the treated county increased by 0.0087 (+1.46% at the mean), the poverty rate decreased by 0.36 percentage points (−2.69%), and the median household income increased by $1413 (+2.33%). We present evidence to argue that our findings can likely be interpreted as causal and plausible.",Journal of Policy Analysis and Management,https://doi.org/10.1002/pam.70065,new,2026-03-14,2026-03-14T00:00:00Z
https://openalex.org/W4411811283,How Important Is Selection into Full-Time and Part-Time Employment? A New Panel Data Sample Selection Model for Estimating Wage Profiles,Jim Been; Marike Knoef; Heike Vethaak,2025-06-30,Hervorming Sociale Regelgeving,Journal of Business and Economic Statistics,https://doi.org/10.1080/07350015.2025.2520851,new,2026-03-14,2026-03-14T00:00:00Z
